Part,Value,Device,Package,Description,DIGIKEY_PART_NO,MANUFACTURER,PRICE,PROD_ID,VALUE
C1,1.0uF,1.0UF-0402-16V-10%,402,1uF ceramic capacitors,GRM155R60G105ME01D-ND,Murata,0.0058,CAP-12417,1.0uF
C2,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C3,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C4,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C5,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C6,1.0uF,1.0UF-0402-16V-10%,402,1uF ceramic capacitors,GRM155R60G105ME01D-ND,Murata,0.0058,CAP-12417,1.0uF
C7,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C8,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C9,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C10,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C11,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C12,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C13,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C14,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C15,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C16,100PF,100PF-0402-50V-5%,402,100pF/0.1nF ceramic capacitors,311-1024-2-ND,Yageo,0.00346,CAP-13458,100PF
C17,4.7uF,4.7UF0603,603,4.7uF ceramic capacitors,1276-1907-2-ND,Samsung,0.01042,CAP-08280,4.7uF
C18,4.7uF,4.7UF0603,603,4.7uF ceramic capacitors,1276-1907-2-ND,Samsung,0.01042,CAP-08280,4.7uF
C19,0.8pF,0.8PF-0402-50V-0.1PF,402,0.8pF ceramic capacitors,490-6270-2-ND,Murata,0.0272,CAP-13456,0.8pF
C20,0.8pF,0.8PF-0402-50V-0.1PF,402,0.8pF ceramic capacitors,490-6270-2-ND,Murata,0.0272,CAP-13456,0.8pF
C21,4.3PF,100PF-0402-50V-5%,402,100pF/0.1nF ceramic capacitors,311-1024-2-ND,Yageo,0.00346,CAP-13458,100PF
C22,4.3PF,100PF-0402-50V-5%,402,100pF/0.1nF ceramic capacitors,311-1024-2-ND,Yageo,0.00346,CAP-13458,100PF
D1,120mA/40V/370mV,DIODE-SCHOTTKY-RB751S40,SOD-523,Schottky diode,RB751S40T1GOSTR-ND,ON Semiconductor,0.02805,DIO-11018,120mA/40V/370mV
D2,158301230,158301230,158301230,LED GREEN DIFFUSED 0603 SMD,732-12014-2-ND,Wurth Electronics Inc.,0.504,,
IC1,STM32WB55CEU6,STM32WB55CEU6,QFN50P700X700X65-49N,"STMICROELECTRONICS - STM32WB55CEU6 - MCU, 32BIT, 64MHZ",497-18490-ND,STMicroelectronics,3.76988,,
L1,10UH-225MA,SMD-INDUCTOR-10UH-225MA-10%(0806),L0806,303010042,490-4046-2-ND,Murata,0.11331,,10UH-225MA
L2,LFB182G45SG9A213,LFB182G45SG9A213,INDC1608X95,Electromechanical Filter 2450MHz Freq. 2000MHz to 4000MHz,535-12208-2-ND,Abracon LLC,0.15,,
L3,2.7NH,SMD-INDUCTOR-3.3NH-0.3NH-300MA(0402),L0402,303010056,712-1416-2-ND,Johanson Technology,0.0153,,3.3NH- 300MA
R1,10k,10KOHM-0603-1/10W-1%,603,10k resistor,RNCP0603FTD10K0TR-ND,Stackpole Electronics,0.00693,RES-00824,10k
R2,10k,10KOHM-0603-1/10W-1%,603,10k resistor,RNCP0603FTD10K0TR-ND,Stackpole Electronics,0.00693,RES-00824,10k
R3,RC0603JR-070RL,RC0603JR-070RL,RES_0603,RES SMD 0 OHM JUMPER 1/10W 0603,311-0.0GRTR-ND,Yageo,0.00213,,
S2,MOMENTARY-SWITCH-SPST-SMD-RIGHT-ANGLE,MOMENTARY-SWITCH-SPST-SMD-RIGHT-ANGLE,TACTILE_SWITCH_SMD_RIGHT_ANGLE,Momentary Switch (Pushbutton) - SPST,P16767TR-ND,Panasonic,0.13471,COMP-12265,
U1,LD1117S33TR,LD1117S33TR,SOT-223,IC REG LINEAR 3.3V 800MA SOT223,497-1242-2-ND,STMicroelectronics,0.13558,,
X1,332-06,332-06,332-06,6 Pin - 2mm Dual Row,,,,,
Y1,NX2012SA-32.768K-STD-MUB-1,NX2012SA-32.768K-STD-MUB-1,NX2012SA32768KSTDMUB1,NDK 32.76kHz Crystal Unit +/-20ppm SMD 2-Pin 2.05 x 1.2 x 0.55mm,644-1219-2-ND,NDK America Inc,0.4452,,
Y2,NX2016SA-32M-EXS00A-CS06465,NX2016SA-32M-EXS00A-CS06465,NX2016SA32MEXS00ACS06465,CRYSTAL 32MHZ 10PF SMD,644-1301-2-ND,NDK America Inc,0.27985,,
,,,,,,,,,
,,,,,,,5.71488,,
